Voltage,Current
0.000363967,0.758010328
0.010338596,0.755482256
0.029985862,0.75708437
0.03998303,0.758030593
0.04998111,0.754413188
0.059981313,0.754118919
0.069980085,0.755516827
0.079980545,0.75519979
0.089979075,0.754809558
0.099977084,0.757294834
0.109978616,0.756764591
0.119978227,0.755376816
0.129976943,0.757324576
0.139978811,0.755644739
0.149977952,0.755577803
0.159976721,0.757406652
0.169975579,0.758196175
0.179976627,0.755628169
0.189978853,0.75625205
0.19998005,0.754627287
0.209980503,0.75682497
0.219973832,0.756290972
0.229966968,0.755261421
0.239956737,0.752242684
0.249982759,0.754843652
0.259980142,0.754525065
0.269975334,0.754440784
0.279966354,0.752723336
0.289964497,0.751097679
0.299950719,0.749979615
0.309979618,0.746421695
0.319975078,0.748338699
0.329967499,0.749912024
0.339963824,0.747728944
0.349950999,0.745786011
0.359980047,0.746068001
0.369976103,0.742412508
0.379968077,0.735496581
0.389969289,0.736505508
0.399962962,0.730166495
0.409983248,0.729245484
0.409983844,0.727188647
0.419978529,0.724348009
0.429971606,0.720468819
0.43996948,0.715262353
0.449958652,0.709969401
0.459983498,0.702760041
0.469975531,0.698864102
0.479971766,0.688388884
0.489968419,0.6827268
0.499960184,0.673982203
0.509984016,0.659237921
0.50998354,0.657595992
0.519978583,0.645566881
0.529971063,0.623756409
0.539969146,0.604062676
0.549958825,0.578497469
0.559956014,0.5392012
0.569974601,0.495459944
0.579970479,0.43260169
0.589969873,0.352438241
0.599956155,0.242205068
0.609954119,0.096454553
0.619971395,-0.103049345
